msd_id,midi_path,title,artist,genre,mood,tempo,energy,score
TRWMHMP128EF34293F,data/raw/lmd_matched/W/M/H/TRWMHMP128EF34293F/d8392424ea57a0fe6f65447680924d37.mid,Sinua rakastan,Irwin Goodman,JAZZ,HAPPY,107.9,0.0,0.7476
TRWOLRE128F427D710,data/raw/lmd_matched/G/D/F/TRGDFBB12903C9963A/468be2f5dd31a1ba444b8018d8e8c7ad.mid,(Sittin'On) The Dock Of The Bay,Louis Bertignac,FUNK,HAPPY,105.0,0.0,0.736
TRDZKYG128F92E3640,data/raw/lmd_matched/O/X/M/TROXMVV128F92E47A0/db426aa15937ba4f477233ac2f72a13e.mid,That's The Way Of The World,Nelson Rangell,FUNK,RELAXED,163.9,0.0,0.7326
TRIRCFN128F4280243,data/raw/lmd_matched/P/O/T/TRPOTLE128F92E5366/118337740caebec6da5f115461f85f2f.mid,Prima Di Essere Un Uomo,Daniele Silvestri,FUNK,HAPPY,116.7,0.0,0.7482
TRGJMGK12903CAFC9D,data/raw/lmd_matched/P/J/Q/TRPJQIR12903CBE9BC/709a519120605e551efa8d903b35f19b.mid,What's Up in Your Head,Kick Bong,ELECTRONIC,RELAXED,230.2,0.0,0.7319
TRPULWH128E0788797,data/raw/lmd_matched/P/U/L/TRPULWH128E0788797/5acfaea2dfc86cef42d8ca66bba7ba8b.mid,"Around The World (Ourworld Master 7"" Inch)",East 17,JAZZ,HAPPY,88.0,0.0,0.6289
TRBOEFO128F92FC62E,data/raw/lmd_matched/E/X/U/TREXUZS128F92E29FC/cab3e200b884e453f9c035f4f28a2da7.mid,Dream On,Aerosmith,FUNK,HAPPY,78.9,0.0,0.7346
TRCLINP12903CB007B,data/raw/lmd_matched/S/N/X/TRSNXNI128F147C9D8/7b4bb90c2c573beda0f74c14ab570e20.mid,Waste Of Time,YACHT,ELECTRONIC,HAPPY,135.0,0.0,0.7355
TRHVEET12903CCE9EF,data/raw/lmd_matched/H/V/E/TRHVEET12903CCE9EF/cfa7b0c800addeae37362e53c21d6ea4.mid,Living Doll,Cliff Richard & The Shadows,POP,RELAXED,127.8,0.0,0.686
TRDXSQX128F930BCB9,data/raw/lmd_matched/E/I/J/TREIJKE12903CB1DB3/1ec4a2429a51160c89600c369a842519.mid,The Rose,Kelly Marie,FUNK,HAPPY,66.0,0.0,0.7105
TRRYJPZ128F930C2BE,data/raw/lmd_matched/O/G/N/TROGNMP128F148C4A0/6de22e60c6cc161b49b7a37394a30b98.mid,Pie Jesu - Original,Hollywood Studio Orchestra,JAZZ,TENSE,137.2,0.0,0.7424
TRQJYKE128F42ADAEB,data/raw/lmd_matched/Q/J/Y/TRQJYKE128F42ADAEB/659c56aa64fb6342cef87458c6b00a2e.mid,All The Things You Are,Will Young,FUNK,HAPPY,132.8,0.0,0.7036
TRXCWZL128E0793240,data/raw/lmd_matched/X/C/W/TRXCWZL128E0793240/071dd50fc3ba05c3e4fcad6e53f90347.mid,When The Going Gets Tough,Boyzone,FUNK,HAPPY,128.0,0.0,0.7223
TRYNGJR128F92CC677,data/raw/lmd_matched/Y/N/G/TRYNGJR128F92CC677/f89d5882de9314cd88fdc8d958efd8bf.mid,Sunlit Clouds,Mike Saint-Jules,FUNK,HAPPY,138.0,0.0,0.7116
TREVDFX128E07859E0,data/raw/lmd_matched/O/Q/E/TROQERS128F4263D1C/0adda16c56e2d7698aa86fba6c3df744.mid,Somebody (Original Album Version),Bonnie McKee,FUNK,SAD,143.0,0.0,0.7489
TRFLBTX128F4257817,data/raw/lmd_matched/F/L/B/TRFLBTX128F4257817/aee5410ca0c30e7c28f3e3fe528e7857.mid,Rough Diamonds (Extended Mix),End Of Fashion,FUNK,HAPPY,74.4,0.0,0.7481
TRUGTVW128F92E83BC,data/raw/lmd_matched/E/Y/N/TREYNLQ128F428C40C/d049a8d91759a5ee10231b7a1f9d98f6.mid,Closest Thing To Heaven (Solasso Dub),Tears For Fears,FUNK,HAPPY,128.0,0.0,0.6883
TREGGML12903CC0740,data/raw/lmd_matched/E/G/G/TREGGML12903CC0740/33e3ed0356f8356f0a89a4dce5be88ad.mid,Til Death Do Us Part (LP Version),White Lion,JAZZ,SAD,121.1,0.0,0.7378
TRSPCUZ128F92E8CD5,data/raw/lmd_matched/E/J/L/TREJLWU128F4280CCB/5ae0b8aa69b54a3c25cefd60d212e9f1.mid,Save Your Kisses For Me - Re-Recording,Brotherhood Of Man,FUNK,HAPPY,93.8,0.0,0.7062
TRWBTPB128EF34A8A1,data/raw/lmd_matched/V/E/I/TRVEICJ12903CD8D92/2329f83374b97bf935af6818ea5e364e.mid,Come Along vs  GIA (Radio Edit) - Despina Vandi,Phoebus Feat Despina Vandi,LATIN,HAPPY,130.0,0.0,0.7361
TRFZNJO128F42759D9,data/raw/lmd_matched/S/U/T/TRSUTUD128F42333F4/ed50c73d40d44c78004f6a1275c5a87d.mid,Soldier Of Fortune,Ukulele,POP,SAD,136.3,0.0,0.6573
TRQMSCD128F426A3F5,data/raw/lmd_matched/H/B/O/TRHBOTJ128F42675B5/1419cc82b48db922bca1f0debaf969b4.mid,Rock 'N' Roll Is King,Electric Light Orchestra,ELECTRONIC,HAPPY,158.2,0.0,0.6569
TRPEAEG128F1458AAB,data/raw/lmd_matched/P/E/A/TRPEAEG128F1458AAB/1eea8ba95e10238d5131cf14997bfae7.mid,Working In A Coal Mine,Devo,ELECTRONIC,HAPPY,158.4,0.0,0.735
TRKIZWL128EF342C5A,data/raw/lmd_matched/V/F/F/TRVFFKS128F4289A7D/2ac8563e4883aed6d75900a1b979ac31.mid,Song For Guy,Elton John,POP,HAPPY,122.8,0.0,0.6495
TRPPLIU128F4260C6E,data/raw/lmd_matched/P/P/L/TRPPLIU128F4260C6E/b9314b56aa9167360a1004d9d2f56089.mid,Adia,Avril Lavigne,POP,TENSE,94.9,0.0,0.7314
TRDLKTB128F9340580,data/raw/lmd_matched/D/L/K/TRDLKTB128F9340580/df2c18107b7688d9f2e31b4effe11914.mid,Es Un Sentimiento,El Símbolo,LATIN,HAPPY,133.9,0.0,0.732
TRVBBAX128F92F91B0,data/raw/lmd_matched/V/B/B/TRVBBAX128F92F91B0/f46bbeec686bd7d950805a80362c5153.mid,Nur Mit Dir,Purple Schulz,JAZZ,HAPPY,101.6,0.0,0.6303
TRHEOII12903CB23D6,data/raw/lmd_matched/H/E/O/TRHEOII12903CB23D6/cb1ea79d6bd7bb21fbfc930b83a9bc13.mid,I Can See Clearly Now,Johnny Nash,FUNK,HAPPY,123.6,0.0,0.7472
TRQDNCX128F9314FD0,data/raw/lmd_matched/B/P/B/TRBPBOM128F9309C56/7a5607bce8a4028b17be05b46882b05a.mid,Sleepyhead,Passion Pit,ELECTRONIC,HAPPY,106.1,0.0,0.7497
TRMJSWT12903CA8AE1,data/raw/lmd_matched/M/J/S/TRMJSWT12903CA8AE1/42e9658d405f3f8a2c0476fe1a7f28d0.mid,Lump,The Presidents of the United States of America,POP,TENSE,0.0,0.0,0.6876
TRHKSZF128F14AD56D,data/raw/lmd_matched/H/K/S/TRHKSZF128F14AD56D/52effc07a4e9ee65ab7da17ba23e036c.mid,Ride ( The Shootist ),Elmer Bernstein,FUNK,HAPPY,128.3,0.0,0.7141
TROUHQM128F92C5777,data/raw/lmd_matched/O/U/H/TROUHQM128F92C5777/694b1abd7c5a8cafbeeadc5af4b7cc98.mid,Plush (LP Version),Stone Temple Pilots,FUNK,SAD,144.6,0.0,0.7404
TRWQAFX128F428DBB0,data/raw/lmd_matched/K/L/F/TRKLFKF128F4292441/fb3fd2628c49b4f9b7c5172016397dc9.mid,Genie In A Bottle,Christina Aguilera,FUNK,HAPPY,175.9,0.0,0.7197
TRWGVPP128F42970A9,data/raw/lmd_matched/P/X/X/TRPXXAD128F429210D/a86611aa67f6aaeec3b81c4a47801129.mid,Disco Ride (LP/Single Version),Spinners,FUNK,HAPPY,126.8,0.0,0.8286
TRQMGQY128EF3406A7,data/raw/lmd_matched/S/T/T/TRSTTPX128F14697DE/0a002496179a7f61e2206ee26c48e0b4.mid,True,Fergie / Will.I.Am,FUNK,SAD,105.0,0.0,0.7445
TRYDLPB12903CB0328,data/raw/lmd_matched/A/J/A/TRAJANQ12903CCDF7F/bd0d5855ea389bfd676d407879b4b9bc.mid,What A Friend We Have In Jesus (Album),B.J. THOMAS,FUNK,HAPPY,86.8,0.0,0.7581
TRWYDVA128F92FDD86,data/raw/lmd_matched/B/Y/F/TRBYFEU128F4220069/d0eafc1023fda33a88b423009061415d.mid,Guitar Man (LP Version),Bread,FUNK,HAPPY,143.6,0.0,0.6947
TRIHFTE128F930944E,data/raw/lmd_matched/V/Y/O/TRVYOXJ128F429B666/2f818c0a9a827eb3f2307451283a5552.mid,Tanto Amor,Los Humildes,LATIN,HAPPY,144.7,0.0,0.7506
TRBMITH128F4282301,data/raw/lmd_matched/E/F/I/TREFIDV128F930A23A/42edf9d577bd899860deb6c9b85046e4.mid,Lasting Words (Album Version),No Address,ELECTRONIC,DARK,71.5,0.0,0.7498
