msd_id,token_path,genre,mood,enc_len,dec_len
TRDZKYG128F92E3640,data/tokens/TRDZKYG128F92E3640.json,FUNK,RELAXED,5,1343
TRPEAEG128F1458AAB,data/tokens/TRPEAEG128F1458AAB.json,ELECTRONIC,HAPPY,530,1638
TRHKSZF128F14AD56D,data/tokens/TRHKSZF128F14AD56D.json,FUNK,HAPPY,5,661
TROUHQM128F92C5777,data/tokens/TROUHQM128F92C5777.json,FUNK,SAD,5,1135
TRWQAFX128F428DBB0,data/tokens/TRWQAFX128F428DBB0.json,FUNK,HAPPY,459,1697
TRWGVPP128F42970A9,data/tokens/TRWGVPP128F42970A9.json,FUNK,HAPPY,32,2298
TRADCVS128F932D857,data/tokens/TRADCVS128F932D857.json,POP,HAPPY,213,1160
TRNVNJD12903CE58BB,data/tokens/TRNVNJD12903CE58BB.json,ELECTRONIC,SAD,2141,1037
TRSNCXP128F1470E53,data/tokens/TRSNCXP128F1470E53.json,LATIN,HAPPY,3212,723
TRHHKMC128F931E0AB,data/tokens/TRHHKMC128F931E0AB.json,POP,SAD,2418,1728
TRFUVKB12903CB0FE3,data/tokens/TRFUVKB12903CB0FE3.json,POP,SAD,585,1517
TRSFNHG128F427DF40,data/tokens/TRSFNHG128F427DF40.json,FUNK,SAD,1334,1344
TRIAYPJ128F4288F8F,data/tokens/TRIAYPJ128F4288F8F.json,FUNK,HAPPY,706,1012
TRSAMWU128F42636B8,data/tokens/TRSAMWU128F42636B8.json,FUNK,HAPPY,294,1043
TRXVFTR128F931DED3,data/tokens/TRXVFTR128F931DED3.json,FUNK,HAPPY,777,1205
TRIDAFI128F4255BD9,data/tokens/TRIDAFI128F4255BD9.json,FUNK,HAPPY,762,491
TRDWCTE128F932F76E,data/tokens/TRDWCTE128F932F76E.json,FUNK,HAPPY,747,831
TRPZMHF128F145FAF8,data/tokens/TRPZMHF128F145FAF8.json,FUNK,SAD,472,1149
TRUMCXJ128F428C9F1,data/tokens/TRUMCXJ128F428C9F1.json,FUNK,HAPPY,407,1146
TRZNHKM128F4226D88,data/tokens/TRZNHKM128F4226D88.json,FUNK,HAPPY,654,1290
TRFUBNF128F4294644,data/tokens/TRFUBNF128F4294644.json,POP,HAPPY,5,1012
TRWEDUK12903D0936E,data/tokens/TRWEDUK12903D0936E.json,ELECTRONIC,HAPPY,547,244
TRQEUKM128F4273307,data/tokens/TRQEUKM128F4273307.json,FUNK,HAPPY,705,859
TRBPCYT128F4228986,data/tokens/TRBPCYT128F4228986.json,FUNK,HAPPY,774,691
TRTONJG128F4260A27,data/tokens/TRTONJG128F4260A27.json,FUNK,HAPPY,641,1039
TRSJJNJ12903CF5452,data/tokens/TRSJJNJ12903CF5452.json,FUNK,HAPPY,817,794
TREFTJE128F4234C17,data/tokens/TREFTJE128F4234C17.json,ELECTRONIC,HAPPY,5,1049
TRXUNHW128F4295E0B,data/tokens/TRXUNHW128F4295E0B.json,JAZZ,SAD,518,658
TRQUIXQ128F92E89D2,data/tokens/TRQUIXQ128F92E89D2.json,JAZZ,RELAXED,5,680
TRTMWKQ128F14A2B68,data/tokens/TRTMWKQ128F14A2B68.json,ELECTRONIC,HAPPY,434,827
TRAZQKS128F4273164,data/tokens/TRAZQKS128F4273164.json,ELECTRONIC,HAPPY,3603,1222
TRTFVFH12903CC1151,data/tokens/TRTFVFH12903CC1151.json,FUNK,HAPPY,17,1584
TRUFVWQ128F1484D90,data/tokens/TRUFVWQ128F1484D90.json,FUNK,SAD,107,920
TRYUJNI128F4263C6B,data/tokens/TRYUJNI128F4263C6B.json,ELECTRONIC,HAPPY,1327,1226
